metric,group,block,value,unit,source,higher_is_better
file_size_gib,BF16,artifact,9.029916673898697,GiB,filesystem,False
size_ratio_vs_bf16,BF16,artifact,1.0,ratio,filesystem,False
file_size_gib,Q8_0,artifact,4.803613573312759,GiB,filesystem,False
size_ratio_vs_bf16,Q8_0,artifact,0.5319665448517127,ratio,filesystem,False
file_size_gib,TQ4_1S,artifact,4.160610526800156,GiB,filesystem,False
size_ratio_vs_bf16,TQ4_1S,artifact,0.46075846290216077,ratio,filesystem,False
prompt_eval_tps,BF16,pp8_kf16_vf16_rep0,189.994,tok/s,llama-bench,True
prompt_eval_tps,BF16,pp8_kf16_vf16_rep1,231.597,tok/s,llama-bench,True
prompt_eval_tps,BF16,pp8_kf16_vf16_rep2,229.861,tok/s,llama-bench,True
decode_tps,BF16,tg2_kf16_vf16_rep0,27.9458,tok/s,llama-bench,True
decode_tps,BF16,tg2_kf16_vf16_rep1,27.7006,tok/s,llama-bench,True
decode_tps,BF16,tg2_kf16_vf16_rep2,27.8447,tok/s,llama-bench,True
prompt_eval_tps,Q8_0,pp8_kf16_vf16_rep0,215.357,tok/s,llama-bench,True
prompt_eval_tps,Q8_0,pp8_kf16_vf16_rep1,267.596,tok/s,llama-bench,True
prompt_eval_tps,Q8_0,pp8_kf16_vf16_rep2,263.343,tok/s,llama-bench,True
decode_tps,Q8_0,tg2_kf16_vf16_rep0,40.5409,tok/s,llama-bench,True
decode_tps,Q8_0,tg2_kf16_vf16_rep1,40.1046,tok/s,llama-bench,True
decode_tps,Q8_0,tg2_kf16_vf16_rep2,40.5555,tok/s,llama-bench,True
prompt_eval_tps,TQ4_1S,pp8_kf16_vf16_rep0,0.770173,tok/s,llama-bench,True
prompt_eval_tps,TQ4_1S,pp8_kf16_vf16_rep1,0.832158,tok/s,llama-bench,True
prompt_eval_tps,TQ4_1S,pp8_kf16_vf16_rep2,0.761272,tok/s,llama-bench,True
decode_tps,TQ4_1S,tg2_kf16_vf16_rep0,0.728122,tok/s,llama-bench,True
decode_tps,TQ4_1S,tg2_kf16_vf16_rep1,0.69474,tok/s,llama-bench,True
decode_tps,TQ4_1S,tg2_kf16_vf16_rep2,0.640473,tok/s,llama-bench,True
perplexity,BF16,chunk0,11313.6738,ppl,llama-perplexity,False
negative_log_likelihood,BF16,chunk0,9.333767,nll,llama-perplexity,False
kv_cache_mib,BF16,load,1024.0,MiB,llama-perplexity-log,False
recurrent_state_mib,BF16,load,6432.0,MiB,llama-perplexity-log,False
perplexity,Q8_0,chunk1,13677.2349,ppl,llama-perplexity,False
logits_kl_vs_bf16,Q8_0,chunk1,1.64035,KL,llama-perplexity-logits,False
kv_cache_mib,Q8_0,load,1024.0,MiB,llama-perplexity-log,False
recurrent_state_mib,Q8_0,load,6432.0,MiB,llama-perplexity-log,False
perplexity,TQ4_1S,chunk1,21648.79,ppl,llama-perplexity,False
logits_kl_vs_bf16,TQ4_1S,chunk1,1.8819,KL,llama-perplexity-logits,False
kv_cache_mib,TQ4_1S,load,1024.0,MiB,llama-perplexity-log,False
recurrent_state_mib,TQ4_1S,load,6432.0,MiB,llama-perplexity-log,False
