metric,left,right,statistic,mean_delta,p_value,method
decode_tps,BF16,Q8_0,0.0,-12.56996666666667,0.25,scipy.stats.wilcoxon_zsplit_two_sided
decode_tps,BF16,TQ4_1S,0.0,27.142588333333332,0.25,scipy.stats.wilcoxon_zsplit_two_sided
decode_tps,Q8_0,TQ4_1S,0.0,39.712555,0.25,scipy.stats.wilcoxon_zsplit_two_sided
file_size_gib,BF16,Q8_0,0.0,4.2263031005859375,1.0,scipy.stats.wilcoxon_zsplit_two_sided
file_size_gib,BF16,TQ4_1S,0.0,4.869306147098541,1.0,scipy.stats.wilcoxon_zsplit_two_sided
file_size_gib,Q8_0,TQ4_1S,0.0,0.6430030465126038,1.0,scipy.stats.wilcoxon_zsplit_two_sided
kv_cache_mib,BF16,Q8_0,0.0,0.0,1.0,scipy.stats.wilcoxon_zsplit_two_sided
kv_cache_mib,BF16,TQ4_1S,0.0,0.0,1.0,scipy.stats.wilcoxon_zsplit_two_sided
kv_cache_mib,Q8_0,TQ4_1S,0.0,0.0,1.0,scipy.stats.wilcoxon_zsplit_two_sided
logits_kl_vs_bf16,Q8_0,TQ4_1S,0.0,-0.24154999999999993,1.0,scipy.stats.wilcoxon_zsplit_two_sided
prompt_eval_tps,BF16,Q8_0,0.0,-31.614666666666665,0.25,scipy.stats.wilcoxon_zsplit_two_sided
prompt_eval_tps,BF16,TQ4_1S,0.0,216.362799,0.25,scipy.stats.wilcoxon_zsplit_two_sided
prompt_eval_tps,Q8_0,TQ4_1S,0.0,247.97746566666666,0.25,scipy.stats.wilcoxon_zsplit_two_sided
recurrent_state_mib,BF16,Q8_0,0.0,0.0,1.0,scipy.stats.wilcoxon_zsplit_two_sided
recurrent_state_mib,BF16,TQ4_1S,0.0,0.0,1.0,scipy.stats.wilcoxon_zsplit_two_sided
recurrent_state_mib,Q8_0,TQ4_1S,0.0,0.0,1.0,scipy.stats.wilcoxon_zsplit_two_sided
size_ratio_vs_bf16,BF16,Q8_0,0.0,0.4680334551482873,1.0,scipy.stats.wilcoxon_zsplit_two_sided
size_ratio_vs_bf16,BF16,TQ4_1S,0.0,0.5392415370978392,1.0,scipy.stats.wilcoxon_zsplit_two_sided
size_ratio_vs_bf16,Q8_0,TQ4_1S,0.0,0.07120808194955192,1.0,scipy.stats.wilcoxon_zsplit_two_sided
