metric,group,n,mean,sd,sem,ci95_low,ci95_high,unit,higher_is_better
file_size_gib,BF16,1,9.029916673898697,0.0,0.0,9.029916673898697,9.029916673898697,GiB,False
size_ratio_vs_bf16,BF16,1,1.0,0.0,0.0,1.0,1.0,ratio,False
file_size_gib,Q8_0,1,4.803613573312759,0.0,0.0,4.803613573312759,4.803613573312759,GiB,False
size_ratio_vs_bf16,Q8_0,1,0.5319665448517127,0.0,0.0,0.5319665448517127,0.5319665448517127,ratio,False
file_size_gib,TQ4_1S,1,4.160610526800156,0.0,0.0,4.160610526800156,4.160610526800156,GiB,False
size_ratio_vs_bf16,TQ4_1S,1,0.46075846290216077,0.0,0.0,0.46075846290216077,0.46075846290216077,ratio,False
prompt_eval_tps,BF16,3,217.15066666666667,23.534375545854903,13.587578056609075,190.51901367571287,243.78231965762046,tok/s,True
decode_tps,BF16,3,27.830366666666666,0.12322679632828631,0.0711450240315113,27.690922419564906,27.969810913768427,tok/s,True
prompt_eval_tps,Q8_0,3,248.76533333333333,29.010507653836974,16.74922440327048,215.93685350292319,281.59381316374345,tok/s,True
decode_tps,Q8_0,3,40.400333333333336,0.2562165945705594,0.14792671984616168,40.11039696243486,40.69026970423181,tok/s,True
prompt_eval_tps,TQ4_1S,3,0.7878676666666666,0.03861388571917274,0.02229373731442183,0.7441719415303999,0.8315633918029334,tok/s,True
decode_tps,TQ4_1S,3,0.6877783333333334,0.04423726259990934,0.02554039547026982,0.6377191582116045,0.7378375084550622,tok/s,True
perplexity,BF16,1,11313.6738,0.0,0.0,11313.6738,11313.6738,ppl,False
negative_log_likelihood,BF16,1,9.333767,0.0,0.0,9.333767,9.333767,nll,False
kv_cache_mib,BF16,1,1024.0,0.0,0.0,1024.0,1024.0,MiB,False
recurrent_state_mib,BF16,1,6432.0,0.0,0.0,6432.0,6432.0,MiB,False
perplexity,Q8_0,1,13677.2349,0.0,0.0,13677.2349,13677.2349,ppl,False
logits_kl_vs_bf16,Q8_0,1,1.64035,0.0,0.0,1.64035,1.64035,KL,False
kv_cache_mib,Q8_0,1,1024.0,0.0,0.0,1024.0,1024.0,MiB,False
recurrent_state_mib,Q8_0,1,6432.0,0.0,0.0,6432.0,6432.0,MiB,False
perplexity,TQ4_1S,1,21648.79,0.0,0.0,21648.79,21648.79,ppl,False
logits_kl_vs_bf16,TQ4_1S,1,1.8819,0.0,0.0,1.8819,1.8819,KL,False
kv_cache_mib,TQ4_1S,1,1024.0,0.0,0.0,1024.0,1024.0,MiB,False
recurrent_state_mib,TQ4_1S,1,6432.0,0.0,0.0,6432.0,6432.0,MiB,False
