policy,metric,n,mean,sd,sem,ci95_low,ci95_high
K=f16_V=f16,prompt_tok_s,2,6.925000000000001,1.0394469683442247,0.7349999999999998,5.484400000000001,8.3656
K=f16_V=f16,gen_tok_s,2,1.2149999999999999,0.38890872965260115,0.27499999999999997,0.6759999999999999,1.7539999999999998
K=f16_V=f16,kv_mib,2,8.0,0.0,0.0,8.0,8.0
K=f16_V=f16,wall_sec,0,nan,nan,nan,nan,nan
K=q8_0_V=q8_0,prompt_tok_s,2,8.415,2.6940768363207463,1.905,4.681199999999999,12.1488
K=q8_0_V=q8_0,gen_tok_s,2,1.96,0.05656854249492385,0.040000000000000036,1.8816,2.0384
K=q8_0_V=q8_0,kv_mib,2,4.25,0.0,0.0,4.25,4.25
K=q8_0_V=q8_0,wall_sec,0,nan,nan,nan,nan,nan
K=q8_0_V=turbo2,prompt_tok_s,2,9.58,3.606244584051393,2.5500000000000003,4.582,14.578
K=q8_0_V=turbo2,gen_tok_s,2,1.8399999999999999,0.09899494936611658,0.06999999999999994,1.7027999999999999,1.9771999999999998
K=q8_0_V=turbo2,kv_mib,2,2.86,0.0,0.0,2.86,2.86
K=q8_0_V=turbo2,wall_sec,0,nan,nan,nan,nan,nan
K=bf16_V=turbo2,prompt_tok_s,2,12.645,0.9545941546018389,0.6749999999999998,11.322,13.968
K=bf16_V=turbo2,gen_tok_s,2,2.12,1.3435028842544403,0.95,0.25800000000000023,3.982
K=bf16_V=turbo2,kv_mib,2,4.73,0.0,0.0,4.73,4.73
K=bf16_V=turbo2,wall_sec,0,nan,nan,nan,nan,nan
K=q8_0_V=turbo3,prompt_tok_s,2,11.795,0.657609306503489,0.46499999999999986,10.8836,12.7064
K=q8_0_V=turbo3,gen_tok_s,2,3.1799999999999997,0.5091168824543143,0.36000000000000004,2.4743999999999997,3.8855999999999997
K=q8_0_V=turbo3,kv_mib,2,2.91,0.0,0.0,2.91,2.91
K=q8_0_V=turbo3,wall_sec,0,nan,nan,nan,nan,nan
K=bf16_V=turbo3,prompt_tok_s,2,13.285,5.678067452927977,4.015000000000001,5.4155999999999995,21.154400000000003
K=bf16_V=turbo3,gen_tok_s,2,2.535,0.8980256121069153,0.6349999999999999,1.2904000000000004,3.7796
K=bf16_V=turbo3,kv_mib,2,4.78,0.0,0.0,4.78,4.78
K=bf16_V=turbo3,wall_sec,0,nan,nan,nan,nan,nan
K=q8_0_V=turbo4,prompt_tok_s,2,11.815000000000001,1.053589103967956,0.745,10.354800000000001,13.275200000000002
K=q8_0_V=turbo4,gen_tok_s,2,2.585,0.31819805153394654,0.2250000000000001,2.1439999999999997,3.0260000000000002
K=q8_0_V=turbo4,kv_mib,2,3.19,0.0,0.0,3.19,3.19
K=q8_0_V=turbo4,wall_sec,0,nan,nan,nan,nan,nan
K=bf16_V=turbo4,prompt_tok_s,1,19.38,0.0,0.0,19.38,19.38
K=bf16_V=turbo4,gen_tok_s,1,4.21,0.0,0.0,4.21,4.21
K=bf16_V=turbo4,kv_mib,1,5.06,0.0,0.0,5.06,5.06
K=bf16_V=turbo4,wall_sec,0,nan,nan,nan,nan,nan
K=q8_0_V=turbo8,prompt_tok_s,0,nan,nan,nan,nan,nan
K=q8_0_V=turbo8,gen_tok_s,0,nan,nan,nan,nan,nan
K=q8_0_V=turbo8,kv_mib,0,nan,nan,nan,nan,nan
K=q8_0_V=turbo8,wall_sec,0,nan,nan,nan,nan,nan
K=bf16_V=turbo8,prompt_tok_s,0,nan,nan,nan,nan,nan
K=bf16_V=turbo8,gen_tok_s,0,nan,nan,nan,nan,nan
K=bf16_V=turbo8,kv_mib,0,nan,nan,nan,nan,nan
K=bf16_V=turbo8,wall_sec,0,nan,nan,nan,nan,nan
