bits,bit_setting,view,mode,layers,blocks,storage_dtypes,max_learned_orthogonality_error,mean_learned_orthogonality_error,sd_learned_orthogonality_error,max_effective_orthogonality_error,mean_effective_orthogonality_error,sd_effective_orthogonality_error,min_effective_determinant,mean_effective_determinant,max_effective_determinant,max_effective_determinant_error,mean_effective_determinant_error,sd_effective_determinant_error,status
2.0,2.0,spinor_minus_proxy,key_only_block_so8_triality_minus,8,256,bfloat16,0.005152702331542969,0.0031321811299562796,0.0006718915953092089,0.005152702331542969,0.0031321811299562796,0.0006718915953092089,0.9943554134653675,1.000116302591178,1.0085348004139119,0.008534800413911858,0.0021446861947447874,0.001531870134329844,pass
2.0,2.0,spinor_plus_proxy,key_only_block_so8_triality_plus,8,256,bfloat16,0.005254607647657394,0.0031563994650023464,0.0007068969729149196,0.005254607647657394,0.0031563994650023464,0.0007068969729149196,0.9929820072746672,0.9999675062635397,1.0072231626037302,0.007223162603730238,0.0020366070534396023,0.0014494220407055725,pass
2.0,2.0,vector,key_only_block_so8_triality_vector,8,256,bfloat16,0.00518566370010376,0.0032052420596606623,0.0007192680312555708,0.00518566370010376,0.0032052420596606623,0.0007192680312555708,0.9930343770656568,0.9999661867431248,1.0083558365198484,0.008355836519848392,0.0020891337281322094,0.0016080119989435925,pass
2.5,2.5,spinor_minus_proxy,key_only_block_so8_triality_minus,8,256,bfloat16,0.005152702331542969,0.0031321811299562796,0.0006718915953092089,0.005152702331542969,0.0031321811299562796,0.0006718915953092089,0.9943554134653675,1.000116302591178,1.0085348004139119,0.008534800413911858,0.0021446861947447874,0.001531870134329844,pass
2.5,2.5,spinor_plus_proxy,key_only_block_so8_triality_plus,8,256,bfloat16,0.005254607647657394,0.0031563994650023464,0.0007068969729149196,0.005254607647657394,0.0031563994650023464,0.0007068969729149196,0.9929820072746672,0.9999675062635397,1.0072231626037302,0.007223162603730238,0.0020366070534396023,0.0014494220407055725,pass
2.5,2.5,vector,key_only_block_so8_triality_vector,8,256,bfloat16,0.00518566370010376,0.0032052420596606623,0.0007192680312555708,0.00518566370010376,0.0032052420596606623,0.0007192680312555708,0.9930343770656568,0.9999661867431248,1.0083558365198484,0.008355836519848392,0.0020891337281322094,0.0016080119989435925,pass
3.0,3.0,spinor_minus_proxy,key_only_block_so8_triality_minus,8,256,bfloat16,0.0049111247062683105,0.0031836593767033995,0.000702961728664384,0.0049111247062683105,0.0031836593767033995,0.000702961728664384,0.9917564405382495,0.9997154169404426,1.006432436283197,0.008243559461750483,0.002097280269696216,0.0015945196286510357,pass
3.0,3.0,spinor_plus_proxy,key_only_block_so8_triality_plus,8,256,bfloat16,0.005175328813493252,0.0031225947751316596,0.0006500616739862639,0.005175328813493252,0.0031225947751316596,0.0006500616739862639,0.9922708086565377,0.9999108411354533,1.0066807324941633,0.007729191343462283,0.0018359673373874162,0.00138368907586747,pass
3.0,3.0,vector,key_only_block_so8_triality_vector,8,256,bfloat16,0.004869997501373291,0.00311284042890847,0.0007324323543600602,0.004869997501373291,0.00311284042890847,0.0007324323543600602,0.9923723112202,1.0001451301506983,1.0064308331402385,0.007627688779800024,0.001814023768809582,0.001420009621255212,pass
3.5,3.5,spinor_minus_proxy,key_only_block_so8_triality_minus,8,256,bfloat16,0.0049111247062683105,0.0031836593767033995,0.000702961728664384,0.0049111247062683105,0.0031836593767033995,0.000702961728664384,0.9917564405382495,0.9997154169404426,1.006432436283197,0.008243559461750483,0.002097280269696216,0.0015945196286510357,pass
3.5,3.5,spinor_plus_proxy,key_only_block_so8_triality_plus,8,256,bfloat16,0.005175328813493252,0.0031225947751316596,0.0006500616739862639,0.005175328813493252,0.0031225947751316596,0.0006500616739862639,0.9922708086565377,0.9999108411354533,1.0066807324941633,0.007729191343462283,0.0018359673373874162,0.00138368907586747,pass
